Name,Surname,CustomerID,Age,Gender,Region,Job Classification,Date Joined,Balance,Status
Oliver,Dickens,100000201,34,Male,England,Other,12.Apr.15,37985,
Fiona,Underwood,100000202,37,Female,England,White Collar,12.Apr.15,54630,
Yvonne,Arnold,100000203,40,Female,England,White Collar,12.Apr.15,60648,
Fiona,Vance,100000204,26,Female,England,White Collar,12.Apr.15,18894,
Anna,Lee,100000205,25,Female,England,Blue Collar,12.Apr.15,79603,
Wanda,Short,100000206,36,Female,England,White Collar,12.Apr.15,109026,
Blake,Berry,100000207,41,Male,England,White Collar,12.Apr.15,73998,
Phil,Lewis,100000208,39,Male,England,White Collar,12.Apr.15,3734,
Christian,Sharp,100000209,39,Male,England,Blue Collar,12.Apr.15,23322,
Blake,Rutherford,200000210,44,Male,Scotland,Blue Collar,12.Apr.15,64482,
Robert,Wright,100000211,39,Male,England,White Collar,13.Apr.15,52505,
Eric,North,100000212,34,Male,England,White Collar,13.Apr.15,16569,
Tracey,Grant,100000213,29,Female,England,Blue Collar,13.Apr.15,21065,
Faith,McDonald,100000214,21,Female,England,Other,13.Apr.15,13487,
Alan,Murray,100000215,39,Male,England,Blue Collar,13.Apr.15,34338,
Nathan,Turner,100000216,38,Male,England,White Collar,13.Apr.15,48146,
Carolyn,Hart,100000217,28,Female,England,White Collar,13.Apr.15,27008,
Theresa,Grant,100000218,29,Female,England,White Collar,14.Apr.15,29907,
Alexander,Ince,100000219,25,Male,England,White Collar,14.Apr.15,31660,
Maria,Simpson,100000220,38,Female,England,Other,14.Apr.15,33509,
Sally,Arnold,100000221,45,Female,England,Blue Collar,14.Apr.15,2575,
Jessica,Morrison,100000222,33,Female,England,White Collar,14.Apr.15,4072,
Lucas,Langdon,100000223,32,Male,England,White Collar,14.Apr.15,15375,
Christian,Baker,100000224,43,Male,England,White Collar,14.Apr.15,18103,
Piers,White,100000225,31,Male,England,White Collar,14.Apr.15,63230,
Gordon,Fraser,100000226,40,Male,England,White Collar,14.Apr.15,9875,
Connor,Gill,100000227,29,Male,England,Other,15.Apr.15,106172,
Virginia,Howard,100000228,37,Female,England,White Collar,15.Apr.15,4611,
Yvonne,Johnston,100000229,36,Female,England,White Collar,15.Apr.15,42635,
Dan,Terry,100000230,42,Male,England,White Collar,15.Apr.15,51923,
Audrey,McGrath,100000231,45,Female,England,White Collar,15.Apr.15,39249,
Trevor,King,100000232,41,Male,England,Blue Collar,15.Apr.15,57762,
Stewart,Pullman,100000233,42,Male,England,White Collar,16.Apr.15,63869,
Brian,Mackay,100000234,42,Male,England,White Collar,16.Apr.15,10199,
Jessica,James,100000235,40,Female,England,White Collar,16.Apr.15,47518,
Carol,Blake,100000236,43,Female,England,White Collar,16.Apr.15,25542,
Alison,Hudson,100000237,43,Female,England,White Collar,16.Apr.15,23887,
Dorothy,Miller,300000238,27,Female,Wales,Other,16.Apr.15,39264,
Natalie,Welch,100000239,35,Female,England,White Collar,17.Apr.15,11880,
John,Baker,100000240,32,Male,England,White Collar,17.Apr.15,50658,
Oliver,Powell,100000241,43,Male,England,White Collar,17.Apr.15,14946,
Amanda,Rees,100000242,34,Female,England,Blue Collar,17.Apr.15,57148,
Paul,Davies,100000243,47,Male,England,Blue Collar,17.Apr.15,116144,
Brian,Short,100000244,39,Male,England,White Collar,17.Apr.15,45135,
Matt,Graham,100000245,31,Male,England,White Collar,17.Apr.15,9867,
Justin,Paterson,100000246,30,Male,England,White Collar,17.Apr.15,4442,
Claire,Dickens,100000247,33,Female,England,White Collar,17.Apr.15,14380,
James,Miller,100000248,37,Male,England,White Collar,17.Apr.15,4263,
Brandon,Bower,100000249,43,Male,England,White Collar,17.Apr.15,32667,
Amelia,Mathis,100000250,30,Female,England,Blue Collar,17.Apr.15,13407,
Fiona,Jones,100000251,33,Female,England,White Collar,17.Apr.15,57127,
Nicholas,Lyman,100000252,30,Male,England,White Collar,17.Apr.15,74588,
Lauren,Ball,100000253,29,Female,England,White Collar,17.Apr.15,41237,
Stewart,Rees,100000254,34,Male,England,White Collar,17.Apr.15,20276,
Diane,Henderson,100000255,36,Female,England,Blue Collar,17.Apr.15,20379,
Julian,Peake,200000256,46,Male,Scotland,Blue Collar,17.Apr.15,29487,
Justin,Underwood,200000257,36,Male,Scotland,Blue Collar,17.Apr.15,79483,
